------------------------------------------------------------------------------
                           GCC Code Coverage Report
Directory: ..
------------------------------------------------------------------------------
File                                       Lines    Exec  Cover   Missing
------------------------------------------------------------------------------
client/cpp/CSVParserUtil.cpp                 345     291    84%   37-45,48,50,239,241,264-265,269-270,286,292,304,313-314,317,323,331-332,335,345,351,363,368,373,379-387,389,425,435-437,474-476,478,503-506
client/cpp/VDMSClient.cc                      20      20   100%
src/AutoDeleteNode.cc                          9       8    88%   40
src/BackendNeo4j.cc                          133      73    54%   7,11,13,15,20,24,29-41,65-70,89,115-117,119-121,129-131,133,177,183,185,187,201,210,212-215,219-220,222-223,226-230,235,239-241,243
src/BlobCommand.cc                            87      66    75%   76,130-132,136-139,145,147,165,186-189,192-196,202
src/BoundingBoxCommand.cc                    180       4     2%   45,49,51,53-54,56-59,62,64-67,70-73,76,83,87,90-91,93-97,101,103,105,114,118,122-123,125-132,137-138,140-144,147-150,152,154-160,162-165,167-169,171-173,176-177,179-181,183-184,186-187,190,193,196-197,199,201-204,206-210,213,215-219,222-223,225-227,229-237,240-244,246,251-256,259-261,263,265-266,268,270,272-274,276-277,281-283,286,288,292-294,296,298,300-303,307-308,310-313,316-319,321-326,329-330,335,338-339,341
src/CommunicationManager.cc                   53      32    60%   50,65-66,68-71,73-81,84,86-88,97
src/DescriptorsCommand.cc                    733     455    62%   96,102,115,168-170,174,188-192,244-255,259-260,264-269,279,287-290,304-306,310,325-334,336,356-357,364-368,401,404-407,413,415-416,419-421,423-424,426-427,430-431,433-435,458-460,464-468,475,481,483,485-486,489,523,562-564,574,584-589,595,597,599-600,602-603,643,671,691,695,697,700,702-705,708-713,715-719,721,724,726,728,731,734-735,737,739,741-746,749,751-753,756-757,759,761,763-764,766,768,770-772,774,776-781,786-787,790,792,794,819-821,840-841,844-845,858-861,876,878,881-882,885,915-917,934-936,964-966,972-973,1003-1006,1022-1023,1025-1026,1028,1030-1031,1033,1048,1051,1059,1064,1085-1087,1091-1094,1103,1105,1107-1111,1114-1115,1118-1121,1123,1125-1132,1157-1161,1166-1170,1180-1183,1197-1200,1212-1213,1254-1257,1287,1290,1310-1314,1330-1331
src/DescriptorsManager.cc                     25      23    92%   49-50
